U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.634,4.131,3.609,3.068,2.564,2.033,1.615,1.084,0.58,0.096,4.558,3.979,3.542,3.039,2.489,1.966,1.482,1.046,0.457,0.011,4.501,4.055,3.495,3.001,2.479,1.966,1.454,0.97,0.486,0.077
4.615,4.121,3.656,3.049,2.574,2.061,1.549,1.112,0.58,0.106,4.549,3.941,3.542,2.982,2.46,1.985,1.482,1.036,0.467,0.03,4.53,4.036,3.523,2.992,2.508,1.957,1.463,1.027,0.505,0.058
4.643,4.112,3.647,3.058,2.574,2.042,1.634,1.084,0.561,0.144,4.577,3.931,3.542,3.011,2.498,1.966,1.501,1.046,0.467,0.058,4.501,4.026,3.542,3.001,2.498,1.947,1.463,0.979,0.476,0.049
4.643,4.14,3.618,3.058,2.564,2.033,1.615,1.112,0.561,0.153,4.568,3.922,3.514,2.982,2.508,1.957,1.482,0.998,0.476,0.077,4.492,4.017,3.514,2.992,2.498,1.947,1.454,0.989,0.486,0.087
4.643,4.15,3.618,3.068,2.574,2.071,1.606,1.122,0.609,0.125,4.558,3.979,3.523,3.058,2.47,1.957,1.473,0.97,0.467,0.058,4.52,4.017,3.523,2.982,2.498,1.957,1.473,0.97,0.476,0.049
4.624,4.14,3.609,3.049,2.574,2.042,1.549,1.15,0.571,0.144,4.577,3.988,3.514,3.001,2.479,1.919,1.53,0.998,0.476,0.058,4.511,4.017,3.504,2.992,2.479,1.976,1.425,1.008,0.467,0.096
4.624,4.121,3.647,3.068,2.593,2.061,1.568,1.16,0.609,0.115,4.558,3.988,3.504,3.049,2.498,1.985,1.492,0.96,0.467,0.011,4.511,4.055,3.523,2.982,2.498,1.957,1.482,0.989,0.495,0.087
4.624,4.14,3.609,3.058,2.564,2.071,1.596,1.103,0.59,0.115,4.586,3.931,3.523,3.03,2.47,1.947,1.444,1.055,0.476,0.068,4.501,4.055,3.504,2.992,2.517,1.985,1.492,1.017,0.505,0.03
4.653,4.112,3.599,3.068,2.564,2.052,1.558,1.122,0.58,0.144,4.539,3.95,3.542,3.058,2.47,1.985,1.454,1.027,0.486,0.058,4.501,4.026,3.504,3.02,2.479,1.947,1.482,1.017,0.457,0.058
4.624,4.14,3.609,3.068,2.555,2.033,1.577,1.122,0.58,0.163,4.568,3.979,3.523,3.049,2.479,1.976,1.463,0.979,0.495,0.049,4.511,4.017,3.523,3.011,2.508,1.957,1.463,0.998,0.486,0.049
4.624,4.131,3.637,3.03,2.555,2.052,1.587,1.074,0.618,0.125,4.568,3.96,3.542,3.049,2.479,1.966,1.473,1.046,0.467,0.049,4.482,4.026,3.514,3.02,2.489,1.966,1.482,1.008,0.467,0.077
4.643,4.131,3.609,3.096,2.517,2.052,1.577,1.084,0.628,0.106,4.558,3.96,3.514,3.011,2.489,1.985,1.463,1.027,0.476,0.039,4.52,4.007,3.523,3.001,2.489,1.985,1.463,0.979,0.467,0.068
4.624,4.15,3.59,3.049,2.555,2.071,1.568,1.141,0.59,0.134,4.549,3.969,3.523,3.011,2.479,1.985,1.511,1.017,0.486,0.068,4.511,4.017,3.523,3.011,2.517,1.995,1.492,0.998,0.467,0.058
4.634,4.131,3.609,3.087,2.555,2.042,1.558,1.093,0.571,0.125,4.558,3.941,3.542,3.001,2.47,1.985,1.482,1.046,0.514,0.039,4.511,4.055,3.495,3.001,2.508,1.966,1.492,0.979,0.486,0.087
4.643,4.159,3.609,3.068,2.583,2.042,1.577,1.093,0.628,0.125,4.568,3.969,3.523,3.039,2.498,1.985,1.473,1.036,0.495,0.058,4.511,4.026,3.495,2.992,2.498,1.966,1.473,0.979,0.476,0.058
4.634,4.121,3.618,3.068,2.564,2.042,1.577,1.141,0.552,0.115,4.577,3.95,3.533,3.039,2.489,1.976,1.473,0.951,0.476,0.039,4.501,4.026,3.504,3.001,2.527,1.966,1.473,1.008,0.486,0.049
4.643,4.121,3.609,3.087,2.546,2.033,1.558,1.093,0.58,0.153,4.596,4.007,3.533,3.058,2.489,1.976,1.492,1.027,0.486,0.058,4.511,4.055,3.533,2.982,2.527,1.976,1.473,0.979,0.476,0.058
4.634,4.14,3.599,3.058,2.583,2.042,1.549,1.103,0.59,0.191,4.577,3.969,3.514,3.058,2.508,1.985,1.473,1.074,0.476,0.106,4.501,4.045,3.514,2.992,2.517,1.995,1.482,0.989,0.467,0.058
4.653,4.159,3.58,3.077,2.555,2.004,1.587,1.122,0.59,0.106,4.586,3.95,3.504,3.049,2.498,1.966,1.501,1.065,0.486,0.039,4.492,4.017,3.495,3.001,2.498,1.966,1.454,1.017,0.486,0.077
4.643,4.14,3.599,3.058,2.555,2.014,1.587,1.103,0.58,0.191,4.568,3.96,3.542,3.011,2.489,1.985,1.463,1.046,0.486,0.049,4.511,4.055,3.504,2.973,2.508,1.985,1.492,0.97,0.505,0.039
